"","Lake.x","Identifier.1","Analysis","Row","Comment","Area.44","d.13C.12C","Area.28","d.15N.14N","Identifier","drift.d13C_adj","GA1.temp","GA2.temp","slope.correction","intercept.correction","d13C_VPDB","d13C_drift.VPDB","d15N_air","d15N_air2","ProcessedOrder","DataSheetNum","People","FISH_ID","Length_mm","Depth_mm","Width_mm","TotalMass_g","VisceraMass_mg","StomContMass_mg","GonadMass_mg","Notes.and.observations...visible.eggs.","CORRECTEDDepth_mm","CORRECTEDWidth_mm","Date","Pull","FreezeDried","Groud","Packed...Tray","Packed...Mass","Packed...Date","X","lakeabv","elev_m","maxdepth_m","WatershedAreaTotal_m2","WatershedAreaofupstreamlakes_m2","Lake_Volume_m3","AddtionalUpstreamVolume_m3","PerimeterLength_m","Area_m2","SDI","Area_ha","IlluminatedBottom_morethan1_ha","MostLightLittoral_morethan50_ha","PerLit_1percentlight","PerLit_50percentofLight","X.Littoral.at.15m","Date.Started","Secchi_m","Rainbow.Trout","Brown.Trout","Total.Fish","Overnight","Notes","Set1","Set2","Set.3","Set4","Hours.net.wet","Minutes","Total.minutes","Total.hours..decimal.","CPUE","X.Elevation_m","Repro","Miles.from.Trailhead","Depth_m","USGS_ReconAlpineLakesReport","Bins","AvgDepth_m","Percent_Littoral","EB","CurrentlyStocked","Has.Natural.Repro","Name_2","Name_3","County","Latitude","Longitude","Elevation_ft","Elevation_m","SizeAcres","Hectares_convertion","Depth_ft","Jurisdiction","Wilderness","CID","GeometryID","kd","kd.below1m","kd.2pt","wateradj","onepercent.kd.2pt","fiftypercent.kd.2pt","onepercent.kd.below1m","fiftypercent.kd.below1m","Totm2overTotm3","Subm2overSubm3","ordered.lit","ordered.depth","ordered.elv","ordered.CPUE","tot.biomass","BMPU","species","include1sigma","include2sigma","X1","Lake.y","fT.mu","fT.sigma","fP.mu","fP.sigma","fL.mu","fL.sigma","count"
"1","Annette","ANN_RBT_07",16691,44,0.331,125.209,-17.525,28.412,6.79,"ANN_RBT_07",-18.6293070646862,-17.7208559368553,-2.08269200485767,0.933613438475768,-11.7555707560588,-28.1171462653467,-29.1481421811414,6.22794435875933,6.23663333333333,7,1,"RS;HR;KL","ANN-RBT-07",263,45.6,25.1,135.2,1136.3,"2304",NA,"tramel net, eggs",NA,NA,"","",NA,NA,NA,NA,NA,1,"ANN",1103.376,25.908,1223151.254,0,780443.6107,0,1140.95574,76054.01667,1.167085807,7.605402,7.605402,2.550147,100,33.5307325,70.1,"8/29/2018","8.3",43,0,43,1,"2 salamander in gillnet (alive and released)","2:00p-7:30p","7:30p-9:30a","","",19,30,1170,19.5,2.205128205,1103.376,"Yes",NA,25.908,"N",4,NA,"NULL","","No","NULL","NULL","NULL","King",47.35891021,-121.4742939,3620,1103.376,20.2,8.1746572,85,"Mt. Baker-Snoqualmie National Forest","NULL",98,"L44701",0.177297146083773,0.171400686695528,0.191018851759778,0.859,24.11,3.63,26.87,4.04,1.56725128789628,1.56725128789628,"Annette","Annette","Annette","Annette",3472,178.051282051282,"rainbow","include","include",1,"Annette",0.098708825436848,0.0635324409740201,0.725081433663786,0.0944287741068754,0.176209740899366,0.10827179277401,4550
"2","Annette","ANN_RBT_08",16427,41,0.346,135.388,-17.963,29.318,6.282,"ANN_RBT_08",-18.6755350398278,-17.7250672882278,-2.22490880991702,0.941925853237539,-11.6043008708432,-28.5241149725491,-29.1952701479005,5.79804213124717,5.82775,8,1,"RS;HR;KL","ANN-RBT-08",148,30.3,16.7,29.9,3084,"empty",NA,"accidentally didn't weigh heart",NA,NA,"","",NA,NA,NA,NA,NA,1,"ANN",1103.376,25.908,1223151.254,0,780443.6107,0,1140.95574,76054.01667,1.167085807,7.605402,7.605402,2.550147,100,33.5307325,70.1,"8/29/2018","8.3",43,0,43,1,"2 salamander in gillnet (alive and released)","2:00p-7:30p","7:30p-9:30a","","",19,30,1170,19.5,2.205128205,1103.376,"Yes",NA,25.908,"N",4,NA,"NULL","","No","NULL","NULL","NULL","King",47.35891021,-121.4742939,3620,1103.376,20.2,8.1746572,85,"Mt. Baker-Snoqualmie National Forest","NULL",98,"L44701",0.177297146083773,0.171400686695528,0.191018851759778,0.859,24.11,3.63,26.87,4.04,1.56725128789628,1.56725128789628,"Annette","Annette","Annette","Annette",3472,178.051282051282,"rainbow","include","include",2,"Annette",0.12910180566339,0.0722083500127787,0.698769321896908,0.0917405490057691,0.172128872439702,0.106263475435945,5137
"3","Annette","ANN_RBT_15",16398,12,0.336,132.839,-17.768,28.893,7.116,"ANN_RBT_15",-17.9765468409252,-17.6894792520246,-2.1996456030753,0.942553698824928,-11.6267159007174,-28.3740100214387,-28.570576617731,6.62710087148654,6.66175,15,1,"RS;HR;KL","ANN-RBT-15",195.2,37.9,18.8,73.5,5025,"855",NA,"fish spewing guts; portion of stomach tissue merged with content",40.4,21.3,"","",NA,NA,NA,NA,NA,1,"ANN",1103.376,25.908,1223151.254,0,780443.6107,0,1140.95574,76054.01667,1.167085807,7.605402,7.605402,2.550147,100,33.5307325,70.1,"8/29/2018","8.3",43,0,43,1,"2 salamander in gillnet (alive and released)","2:00p-7:30p","7:30p-9:30a","","",19,30,1170,19.5,2.205128205,1103.376,"Yes",NA,25.908,"N",4,NA,"NULL","","No","NULL","NULL","NULL","King",47.35891021,-121.4742939,3620,1103.376,20.2,8.1746572,85,"Mt. Baker-Snoqualmie National Forest","NULL",98,"L44701",0.177297146083773,0.171400686695528,0.191018851759778,0.859,24.11,3.63,26.87,4.04,1.56725128789628,1.56725128789628,"Annette","Annette","Annette","Annette",3472,178.051282051282,"rainbow","include","include",3,"Annette",0.0811898977313315,0.0567270755328059,0.769831187162852,0.0902627814027668,0.148978915105817,0.0984081822920228,3197
"4","Annette","ANN_RBT_16",16703,56,0.334,131.47,-19.6,27.215,6.79,"ANN_RBT_16",-21.0054817186916,-17.7944833412453,-2.14997240320078,0.933234669835252,-11.693571214144,-29.984970742915,-31.2966150106176,6.22794435875933,6.23663333333333,16,1,"RS;HR;KL","ANN-RBT-16",281,48.5,22.2,172.4,10772,"320",NA,"difficult to separate tissue and stomach content",51,24.7,"","",NA,NA,NA,NA,NA,1,"ANN",1103.376,25.908,1223151.254,0,780443.6107,0,1140.95574,76054.01667,1.167085807,7.605402,7.605402,2.550147,100,33.5307325,70.1,"8/29/2018","8.3",43,0,43,1,"2 salamander in gillnet (alive and released)","2:00p-7:30p","7:30p-9:30a","","",19,30,1170,19.5,2.205128205,1103.376,"Yes",NA,25.908,"N",4,NA,"NULL","","No","NULL","NULL","NULL","King",47.35891021,-121.4742939,3620,1103.376,20.2,8.1746572,85,"Mt. Baker-Snoqualmie National Forest","NULL",98,"L44701",0.177297146083773,0.171400686695528,0.191018851759778,0.859,24.11,3.63,26.87,4.04,1.56725128789628,1.56725128789628,"Annette","Annette","Annette","Annette",3472,178.051282051282,"rainbow","include","include",4,"Annette",0.112354582061816,0.068759085820366,0.769045610550155,0.0815194809115571,0.118599807388028,0.0841113088715652,2557
"5","Annette","ANN_RBT_17",18049,34,0.336,118.605,-20.872,19.77,5.745,"ANN_RBT_17",-21.160035274492,-17.8601301155787,-2.93118157213879,0.977965725952985,-10.8334048859033,-31.245505517994,-31.5271941443126,5.6161463359611,5.57864285714286,17,1,"RS;HR;KL","ANN-RBT-17",173.5,35.4,15.8,55,4406,"740",NA,"",37.9,18.3,"","",NA,NA,NA,NA,NA,1,"ANN",1103.376,25.908,1223151.254,0,780443.6107,0,1140.95574,76054.01667,1.167085807,7.605402,7.605402,2.550147,100,33.5307325,70.1,"8/29/2018","8.3",43,0,43,1,"2 salamander in gillnet (alive and released)","2:00p-7:30p","7:30p-9:30a","","",19,30,1170,19.5,2.205128205,1103.376,"Yes",NA,25.908,"N",4,NA,"NULL","","No","NULL","NULL","NULL","King",47.35891021,-121.4742939,3620,1103.376,20.2,8.1746572,85,"Mt. Baker-Snoqualmie National Forest","NULL",98,"L44701",0.177297146083773,0.171400686695528,0.191018851759778,0.859,24.11,3.63,26.87,4.04,1.56725128789628,1.56725128789628,"Annette","Annette","Annette","Annette",3472,178.051282051282,"rainbow","include","include",5,"Annette",0.164710892658482,0.0812856383356522,0.747840815293729,0.0798518414787725,0.0874482920477891,0.0678722808840431,1363
"6","Annette","ANN_RBT_05",16702,55,0.331,133.141,-16.656,25.957,6.59,"ANN_RBT_05",-18.0363838308578,-17.8141337793121,-2.16792888709015,0.933133632121741,-11.6770326434079,-27.2193064200276,-28.5073889978381,6.02855542719079,6.03663333333333,4,0,"RS; HR","ANN-RBT-05",208,36.6,23.1,86,NA,NA,NA,"F? immature eggs?",NA,NA,"","",NA,NA,NA,NA,NA,1,"ANN",1103.376,25.908,1223151.254,0,780443.6107,0,1140.95574,76054.01667,1.167085807,7.605402,7.605402,2.550147,100,33.5307325,70.1,"8/29/2018","8.3",43,0,43,1,"2 salamander in gillnet (alive and released)","2:00p-7:30p","7:30p-9:30a","","",19,30,1170,19.5,2.205128205,1103.376,"Yes",NA,25.908,"N",4,NA,"NULL","","No","NULL","NULL","NULL","King",47.35891021,-121.4742939,3620,1103.376,20.2,8.1746572,85,"Mt. Baker-Snoqualmie National Forest","NULL",98,"L44701",0.177297146083773,0.171400686695528,0.191018851759778,0.859,24.11,3.63,26.87,4.04,1.56725128789628,1.56725128789628,"Annette","Annette","Annette","Annette",3472,178.051282051282,"rainbow","include","include",6,"Annette",0.0983011624195945,0.0636775388617777,0.676685163138553,0.0997657564975759,0.225013674441853,0.120437492309725,5502
"7","Annette","ANN_RBT_06",16670,23,0.339,132.312,-18.006,27.723,6.873,"ANN_RBT_06",-18.5832514201769,-17.8043849982484,-2.15902049382606,0.933183755218558,-11.6852371479776,-28.4881438444429,-29.0268254924288,6.31069076536028,6.31963333333333,6,1,"RS;HR;KL","ANN-RBT-06",149.1,30.7,16.1,31.4,32.75,"10.21",NA,"",NA,NA,"","",NA,NA,NA,NA,NA,1,"ANN",1103.376,25.908,1223151.254,0,780443.6107,0,1140.95574,76054.01667,1.167085807,7.605402,7.605402,2.550147,100,33.5307325,70.1,"8/29/2018","8.3",43,0,43,1,"2 salamander in gillnet (alive and released)","2:00p-7:30p","7:30p-9:30a","","",19,30,1170,19.5,2.205128205,1103.376,"Yes",NA,25.908,"N",4,NA,"NULL","","No","NULL","NULL","NULL","King",47.35891021,-121.4742939,3620,1103.376,20.2,8.1746572,85,"Mt. Baker-Snoqualmie National Forest","NULL",98,"L44701",0.177297146083773,0.171400686695528,0.191018851759778,0.859,24.11,3.63,26.87,4.04,1.56725128789628,1.56725128789628,"Annette","Annette","Annette","Annette",3472,178.051282051282,"rainbow","include","include",7,"Annette",0.0999062357597808,0.0639590018482355,0.742418275405474,0.0915856763087195,0.157675488834745,0.101296030517551,3926
"8","Annette","ANN_RBT_20",18024,9,0.342,117.63,-17.735,24.655,6.972,"ANN_RBT_20",-17.8112446314832,-17.8497286411566,-2.92438530733938,0.978201953111522,-10.83936058071,-28.1877722191428,-28.262354866574,6.83613906678866,6.80564285714286,20,1,"RS;HR;KL","ANN-RBT-20",152,28.8,12.2,32.6,2675,"314",NA,"",31.3,14.7,"","",NA,NA,NA,NA,NA,1,"ANN",1103.376,25.908,1223151.254,0,780443.6107,0,1140.95574,76054.01667,1.167085807,7.605402,7.605402,2.550147,100,33.5307325,70.1,"8/29/2018","8.3",43,0,43,1,"2 salamander in gillnet (alive and released)","2:00p-7:30p","7:30p-9:30a","","",19,30,1170,19.5,2.205128205,1103.376,"Yes",NA,25.908,"N",4,NA,"NULL","","No","NULL","NULL","NULL","King",47.35891021,-121.4742939,3620,1103.376,20.2,8.1746572,85,"Mt. Baker-Snoqualmie National Forest","NULL",98,"L44701",0.177297146083773,0.171400686695528,0.191018851759778,0.859,24.11,3.63,26.87,4.04,1.56725128789628,1.56725128789628,"Annette","Annette","Annette","Annette",3472,178.051282051282,"rainbow","include","include",8,"Annette",0.0711625270569481,0.0533675433426102,0.782442395424349,0.0890728130704781,0.146395077518703,0.0954720738091446,2633
"9","Annette","ANN_RBT_21",18038,23,0.336,111.788,-17.495,23.941,5.982,"ANN_RBT_21",-17.6898473915681,-17.7874051400547,-2.88366348276693,0.979619771714223,-10.8751062373112,-28.0135541434516,-28.2044305006986,5.85179285365151,5.81564285714286,21,1,"RS;HR;KL","ANN-RBT-21",170,30.8,14.8,45.9,2736,"551",NA,"",33.3,17.3,"","",NA,NA,NA,NA,NA,1,"ANN",1103.376,25.908,1223151.254,0,780443.6107,0,1140.95574,76054.01667,1.167085807,7.605402,7.605402,2.550147,100,33.5307325,70.1,"8/29/2018","8.3",43,0,43,1,"2 salamander in gillnet (alive and released)","2:00p-7:30p","7:30p-9:30a","","",19,30,1170,19.5,2.205128205,1103.376,"Yes",NA,25.908,"N",4,NA,"NULL","","No","NULL","NULL","NULL","King",47.35891021,-121.4742939,3620,1103.376,20.2,8.1746572,85,"Mt. Baker-Snoqualmie National Forest","NULL",98,"L44701",0.177297146083773,0.171400686695528,0.191018851759778,0.859,24.11,3.63,26.87,4.04,1.56725128789628,1.56725128789628,"Annette","Annette","Annette","Annette",3472,178.051282051282,"rainbow","include","include",9,"Annette",0.118814353233968,0.0698696460557066,0.687601475624975,0.0960838820513871,0.193584171141057,0.113989338515808,5624
"10","Annette","ANN_RBT_09",16683,36,0.337,132.339,-16.531,26.937,6.452,"ANN_RBT_09",-17.434523962016,-17.804702509815,-2.15931063449932,0.933182122656507,-11.6849699186232,-27.1114035882579,-27.954555997003,5.89097706440849,5.89863333333333,9,1,"RS;HR;KL","ANN-RBT-09",130.2,26.8,14.3,21,1902,"174",NA,"",NA,NA,"","",NA,NA,NA,NA,NA,1,"ANN",1103.376,25.908,1223151.254,0,780443.6107,0,1140.95574,76054.01667,1.167085807,7.605402,7.605402,2.550147,100,33.5307325,70.1,"8/29/2018","8.3",43,0,43,1,"2 salamander in gillnet (alive and released)","2:00p-7:30p","7:30p-9:30a","","",19,30,1170,19.5,2.205128205,1103.376,"Yes",NA,25.908,"N",4,NA,"NULL","","No","NULL","NULL","NULL","King",47.35891021,-121.4742939,3620,1103.376,20.2,8.1746572,85,"Mt. Baker-Snoqualmie National Forest","NULL",98,"L44701",0.177297146083773,0.171400686695528,0.191018851759778,0.859,24.11,3.63,26.87,4.04,1.56725128789628,1.56725128789628,"Annette","Annette","Annette","Annette",3472,178.051282051282,"rainbow","include","include",10,"Annette",0.10318364740469,0.068115680454609,0.663027864318676,0.102696622263915,0.233788488276634,0.125697406390668,6067
