,Lake,lakeabv,elev_m,maxdepth_m,WatershedAreaTotal_m2,WatershedAreaofupstreamlakes_m2,Lake_Volume_m3,AddtionalUpstreamVolume_m3,PerimeterLength_m,Area_m2,SDI,Area_ha,IlluminatedBottom_morethan1_ha,MostLightLittoral_morethan50_ha,PerLit_1percentlight,PerLit_50percentofLight,X.Littoral.at.15m,Date.Started,Secchi_m,Rainbow.Trout,Brown.Trout,Total.Fish,Overnight,Notes,Set1,Set2,Set.3,Set4,Hours.net.wet,Minutes,Total.minutes,Total.hours..decimal.,CPUE,X.Elevation_m,Repro,Miles.from.Trailhead,Depth_m,USGS_ReconAlpineLakesReport,Bins,AvgDepth_m,Percent_Littoral,EB,CurrentlyStocked,Has.Natural.Repro,Name_2,Name_3,County,Latitude,Longitude,Elevation_ft,Elevation_m,SizeAcres,Hectares_convertion,Depth_ft,Jurisdiction,Wilderness,CID,GeometryID,kd,kd.below1m,kd.2pt,wateradj,onepercent.kd.2pt,fiftypercent.kd.2pt,onepercent.kd.below1m,fiftypercent.kd.below1m,Totm2overTotm3,Subm2overSubm3
1,Annette,ANN,1103.376,25.908,1223151.254,0,780443.6107,0,1140.95574,76054.01667,1.167085807,7.605402,7.605402,2.550147,100,33.5307325,70.1,8/29/18,8.3,43,0,43,1,2 salamander in gillnet (alive and released),2:00p-7:30p,7:30p-9:30a,,,19,30,1170,19.5,2.205128205,1103.376,Yes,NA,25.908,N,4,NA,NULL,,No,NULL,NULL,NULL,King,47.35891021,-121.4742939,3620,1103.376,20.2,8.1746572,85,Mt. Baker-Snoqualmie National Forest,NULL,98,L44701,0.177297146,0.171400687,0.191018852,0.859,24.11,3.63,26.87,4.04,1.567251288,1.567251288
2,Blazer,BZL,1237.488,17.9832,582782,318525,205415.0614,141314.4864,835.088028,28941.20336,1.384742537,2.89412,1.810126,0.379223,62.54495322,13.10322309,95,8/18/18,9.15,9,0,9,1,,9:05a-7:30a,,,,22,25,1345,22.41666667,0.401486989,1237.488,NULL,5,17.9832,N,4,NA,NULL,,Yes,NULL,NULL,NULL,King,47.42770954,-121.5357973,4060,1237.488,6.46,2.61427156,59,Mt. Baker-Snoqualmie National Forest,Alpine Lakes Wilderness,140,L433,0.509998612,0.54596006,0.443315526,NA,10.39,1.56,8.43,1.27,1.680797047,1.286453867
3,Denny,DEN,1335.024,70.4088,642392,0,1674032.019,0,1000.851076,57585.75637,1.176540796,5.758576,2.33878,0.889803,40.61386009,15.45178878,31.5,8/8/18,12.5,19,0,19,1,,5:20p-1:30p,,,,20,10,1210,20.16666667,0.94214876,1335.024,NULL,5.5,70.4088,N,4,NA,9.02,EB,Yes,NULL,Evelyn,NULL,King,47.42231021,-121.4713952,4380,1335.024,14.3,5.7870098,231,Mt. Baker-Snoqualmie National Forest,Alpine Lakes Wilderness,90,L1064,0.19660518,0.213337682,0.224207151,1.327,20.54,3.09,21.59,3.25,0.383739375,0.383739375
4,Island,ISL,1298.448,30.7848,1301600,0,819547.2372,0,1581.182868,74789.21346,1.631013986,7.478921,4.93203,2.070702,65.94574271,27.68717573,60.2,8/16/18,10.4,3,0,3,2,,11:50a-6:30p,6:45p-7:30a,7:30a-6:30p,11:15a-12:20p,54,90,3330,55.5,0.054054054,1298.448,NULL,5,30.7848,N,4,NA,NULL,,Yes,NULL,NULL,NULL,King,47.42118954,-121.5358972,4260,1298.448,17.78,7.19531708,101,Mt. Baker-Snoqualmie National Forest,Alpine Lakes Wilderness,95,L2529,0.275277803,0.300588416,0.318907041,1.494,14.44,2.17,15.32,2.31,1.588193994,1.588193994
5,Kulla Kulla,KKL,1147.572,64.008,1390820,0,6195620.368,0,2158.049844,233661.9462,1.259396681,23.366195,9.653675,3.308035,41.31470699,14.15735425,35.6,8/19/18,9.4,12,0,12,1,,11:07a-6:35p,6:35p-12:30p,,,25,23,1523,25.38333333,0.472751149,1147.572,NULL,5,64.008,YES,4,NA,NULL,,Yes,NULL,NULL,NULL,King,47.432065,-121.549001,3765,1147.572,59.53,24.09095758,210,Mt. Baker-Snoqualmie National Forest,Alpine Lakes Wilderness,136,L2718,0.269936237,0.25816824,0.274477486,NA,16.78,2.53,17.84,2.68,0.22448438,0.22448438
6,Little Mason,LMA,1298.448,7.1628,116697,0,61653.34721,0,573.026057,19812.1361,1.14842804,1.981214,1.981214,0.557452,100,28.13688981,100,8/21/18,max,6,0,6,1,stickleback (dead),3:45p-6:45p,6:45p-12:45p,,,21,NA,1260,21,0.285714286,1298.448,NULL,5,7.1628,N,3,NA,NULL,,Yes,NULL,Mirror,Herbert,King,47.428436,-121.556983,4260,1298.448,5.45,2.2055387,23.5,Mt. Baker-Snoqualmie National Forest,Alpine Lakes Wilderness,137,L2956,0.579608765,0.521127414,0.614866411,1.487,7.49,1.13,8.84,1.33,1.89279261,1.89279261
7,Lower Melakwa,LML,1368.552,13.8684,1210213,872925,236204.1795,19206.7414,964.770028,38258.27563,1.39141338,3.825828,3.825828,2.160312,100,56.46652176,100,8/10/18,9,17,6,23,1,,1:50p-3:45p,9:52a-2:15p,11:15a-4:20p,4:20p-1:25p,43,88,2668,44.46666667,0.517241379,1368.552,NULL,4.25,13.8684,N,4,NA,NULL,,Yes,NULL,NULL,NULL,King,47.45001023,-121.4687958,4490,1368.552,9.1,3.6826426,45.5,Mt. Baker-Snoqualmie National Forest,Alpine Lakes Wilderness,133,L3270,0.115015422,0.102783507,0.211657745,1.561,21.76,3.27,44.8,6.74,4.738297782,1.427951024
8,Lodge,LOG,952.5,5.4864,993869,0,111281.0797,0,760.798722,38166.48244,1.098559982,3.816648,3.815289,0.569294,99.96439284,14.91607295,100,9/2/18,max,3,2,5,1,,2:30p-6:45p,6:45p-11a,,,20,30,1230,20.5,0.243902439,952.5,NULL,NA,5.4864,N,2,NA,NULL,,Yes,NULL,NULL,NULL,King,47.40931064,-121.4301937,3125,952.5,9.3,3.7635798,18,Mt. Baker-Snoqualmie National Forest,NULL,101,L2979,0.70366993,0.832979758,0.475893947,0.832,9.68,1.46,5.53,0.83,8.931158852,8.931158852
9,"Tuscohatchie, Lower",LTL,1042.416,39.624,4684870,3270108.077,2365654.752,7326173.592,1682.012924,124561.0547,1.344414717,12.456105,4.917598,1.207475,39.47941993,9.693840892,43.3,8/11/18,11,10,0,10,1,Whirling (1),8:30p-8:30a,,,,12,NA,720,12,0.833333333,1042.416,Yes,5.5,39.624,,4,NA,NULL,EB,No,Yes,NULL,NULL,King,47.43870995,-121.4964964,3420,1042.416,31.8,12.8690148,130,Mt. Baker-Snoqualmie National Forest,Alpine Lakes Wilderness,142,L4603,0.33494399,0.33494399,0.304897443,-0.376,15.1,2.27,13.75,2.07,0.48338351,0.598042433
10,Mason,MAS,1274.064,28.0416,667396,0,1755616.315,0,1600.82138,126880.7515,1.267768839,12.68808,7.92071,1.963,62.4263876,15.47121393,50.6,8/20/18,9.75,13,0,13,1,crayfish,3:20p-7:30p,7:30p-1:30p,,,22,10,1330,22.16666667,0.586466165,1274.064,NULL,5,28.0416,YES,4,NA,NULL,,Yes,NULL,"Mason, big",Short,King,47.42465935,-121.5543378,4180,1274.064,32.69,13.22918534,92,Mt. Baker-Snoqualmie National Forest,Alpine Lakes Wilderness,96,L3227,0.252531864,0.257213641,0.278747546,1.445,16.52,2.49,17.9,2.69,0.380149122,0.380149122
