"","Lake","Identifier.1","Analysis","Row","Comment","Area.44","d.13C.12C","Area.28","d.15N.14N","Identifier","drift.d13C_adj","GA1.temp","GA2.temp","slope.correction","intercept.correction","d13C_VPDB","d13C_drift.VPDB","d15N_air","d15N_air2","ProcessedOrder","DataSheetNum","People","FISH_ID","Length_mm","Depth_mm","Width_mm","TotalMass_g","VisceraMass_mg","StomContMass_mg","GonadMass_mg","Notes.and.observations...visible.eggs.","CORRECTEDDepth_mm","CORRECTEDWidth_mm","Date","Pull","FreezeDried","Groud","Packed...Tray","Packed...Mass","Packed...Date","X","lakeabv","elev_m","maxdepth_m","WatershedAreaTotal_m2","WatershedAreaofupstreamlakes_m2","Lake_Volume_m3","AddtionalUpstreamVolume_m3","PerimeterLength_m","Area_m2","SDI","Area_ha","IlluminatedBottom_morethan1_ha","MostLightLittoral_morethan50_ha","PerLit_1percentlight","PerLit_50percentofLight","X.Littoral.at.15m","Date.Started","Secchi_m","Rainbow.Trout","Brown.Trout","Total.Fish","Overnight","Notes","Set1","Set2","Set.3","Set4","Hours.net.wet","Minutes","Total.minutes","Total.hours..decimal.","CPUE","X.Elevation_m","Repro","Miles.from.Trailhead","Depth_m","USGS_ReconAlpineLakesReport","Bins","AvgDepth_m","Percent_Littoral","EB","CurrentlyStocked","Has.Natural.Repro","Name_2","Name_3","County","Latitude","Longitude","Elevation_ft","Elevation_m","SizeAcres","Hectares_convertion","Depth_ft","Jurisdiction","Wilderness","CID","GeometryID","kd","kd.below1m","kd.2pt","wateradj","onepercent.kd.2pt","fiftypercent.kd.2pt","onepercent.kd.below1m","fiftypercent.kd.below1m","Totm2overTotm3","Subm2overSubm3","ordered.lit","ordered.depth","ordered.elv","ordered.CPUE","tot.biomass","BMPU","species"
"1","Annette","ANN_RBT_03",16676,29,0.335,127.041,-24.515,27.292,6.249,"ANN_RBT_03",-25.2428387471796,-17.742399684634,-2.10237858683572,0.933502577055688,-11.7374241712422,-34.6222398477623,-35.3016791939355,5.68859729886642,5.69563333333333,2,0,"RS; HR","ANN-RBT-03",295,59.7,28,192,NA,NA,NA,"bloody tissue - pic 6739 - eggs? -F",NA,NA,"","",NA,NA,NA,NA,NA,1,"ANN",1103.376,25.908,1223151.254,0,780443.6107,0,1140.95574,76054.01667,1.167085807,7.605402,7.605402,2.550147,100,33.5307325,70.1,"8/29/2018","8.3",43,0,43,1,"2 salamander in gillnet (alive and released)","2:00p-7:30p","7:30p-9:30a","","",19,30,1170,19.5,2.205128205,1103.376,"Yes",NA,25.908,"N",4,NA,"NULL","","No","NULL","NULL","NULL","King",47.35891021,-121.4742939,3620,1103.376,20.2,8.1746572,85,"Mt. Baker-Snoqualmie National Forest","NULL",98,"L44701",0.177297146083773,0.171400686695528,0.191018851759778,0.859,24.11,3.63,26.87,4.04,1.56725128789628,1.56725128789628,"Annette","Annette","Annette","Annette",3472,178.051282051282,"rainbow"
"2","Annette","ANN_RBT_04",16689,42,0.334,123.684,-22.835,28.243,6.241,"ANN_RBT_04",-23.8891112890187,-17.7029224131857,-2.06630442979407,0.933705742220428,-11.7706796887258,-33.0918503123292,-34.0760800758254,5.68062174160367,5.68763333333333,3,0,"RS; HR","ANN-RBT-04",288,43.4,25.7,158,NA,NA,NA,"F? Eggs?",NA,NA,"","",NA,NA,NA,NA,NA,1,"ANN",1103.376,25.908,1223151.254,0,780443.6107,0,1140.95574,76054.01667,1.167085807,7.605402,7.605402,2.550147,100,33.5307325,70.1,"8/29/2018","8.3",43,0,43,1,"2 salamander in gillnet (alive and released)","2:00p-7:30p","7:30p-9:30a","","",19,30,1170,19.5,2.205128205,1103.376,"Yes",NA,25.908,"N",4,NA,"NULL","","No","NULL","NULL","NULL","King",47.35891021,-121.4742939,3620,1103.376,20.2,8.1746572,85,"Mt. Baker-Snoqualmie National Forest","NULL",98,"L44701",0.177297146083773,0.171400686695528,0.191018851759778,0.859,24.11,3.63,26.87,4.04,1.56725128789628,1.56725128789628,"Annette","Annette","Annette","Annette",3472,178.051282051282,"rainbow"
"3","Annette","ANN_RBT_07",16691,44,0.331,125.209,-17.525,28.412,6.79,"ANN_RBT_07",-18.6293070646862,-17.7208559368553,-2.08269200485767,0.933613438475768,-11.7555707560588,-28.1171462653467,-29.1481421811414,6.22794435875933,6.23663333333333,7,1,"RS;HR;KL","ANN-RBT-07",263,45.6,25.1,135.2,1136.3,"2304",NA,"tramel net, eggs",NA,NA,"","",NA,NA,NA,NA,NA,1,"ANN",1103.376,25.908,1223151.254,0,780443.6107,0,1140.95574,76054.01667,1.167085807,7.605402,7.605402,2.550147,100,33.5307325,70.1,"8/29/2018","8.3",43,0,43,1,"2 salamander in gillnet (alive and released)","2:00p-7:30p","7:30p-9:30a","","",19,30,1170,19.5,2.205128205,1103.376,"Yes",NA,25.908,"N",4,NA,"NULL","","No","NULL","NULL","NULL","King",47.35891021,-121.4742939,3620,1103.376,20.2,8.1746572,85,"Mt. Baker-Snoqualmie National Forest","NULL",98,"L44701",0.177297146083773,0.171400686695528,0.191018851759778,0.859,24.11,3.63,26.87,4.04,1.56725128789628,1.56725128789628,"Annette","Annette","Annette","Annette",3472,178.051282051282,"rainbow"
"4","Annette","ANN_RBT_08",16427,41,0.346,135.388,-17.963,29.318,6.282,"ANN_RBT_08",-18.6755350398278,-17.7250672882278,-2.22490880991702,0.941925853237539,-11.6043008708432,-28.5241149725491,-29.1952701479005,5.79804213124717,5.82775,8,1,"RS;HR;KL","ANN-RBT-08",148,30.3,16.7,29.9,3084,"empty",NA,"accidentally didn't weigh heart",NA,NA,"","",NA,NA,NA,NA,NA,1,"ANN",1103.376,25.908,1223151.254,0,780443.6107,0,1140.95574,76054.01667,1.167085807,7.605402,7.605402,2.550147,100,33.5307325,70.1,"8/29/2018","8.3",43,0,43,1,"2 salamander in gillnet (alive and released)","2:00p-7:30p","7:30p-9:30a","","",19,30,1170,19.5,2.205128205,1103.376,"Yes",NA,25.908,"N",4,NA,"NULL","","No","NULL","NULL","NULL","King",47.35891021,-121.4742939,3620,1103.376,20.2,8.1746572,85,"Mt. Baker-Snoqualmie National Forest","NULL",98,"L44701",0.177297146083773,0.171400686695528,0.191018851759778,0.859,24.11,3.63,26.87,4.04,1.56725128789628,1.56725128789628,"Annette","Annette","Annette","Annette",3472,178.051282051282,"rainbow"
"5","Annette","ANN_RBT_11",16677,30,0.335,137.514,-21.519,24.623,6.472,"ANN_RBT_11",-22.2719366350133,-17.8655588934149,-2.21492093020697,0.932869320363949,-11.6337682171779,-31.7081831220898,-32.4105746090717,5.91091595756535,5.91863333333333,11,1,"RS;HR;KL","ANN-RBT-11",176.5,36.4,20.9,52.3,4295,"1119",NA,"",NA,NA,"","",NA,NA,NA,NA,NA,1,"ANN",1103.376,25.908,1223151.254,0,780443.6107,0,1140.95574,76054.01667,1.167085807,7.605402,7.605402,2.550147,100,33.5307325,70.1,"8/29/2018","8.3",43,0,43,1,"2 salamander in gillnet (alive and released)","2:00p-7:30p","7:30p-9:30a","","",19,30,1170,19.5,2.205128205,1103.376,"Yes",NA,25.908,"N",4,NA,"NULL","","No","NULL","NULL","NULL","King",47.35891021,-121.4742939,3620,1103.376,20.2,8.1746572,85,"Mt. Baker-Snoqualmie National Forest","NULL",98,"L44701",0.177297146083773,0.171400686695528,0.191018851759778,0.859,24.11,3.63,26.87,4.04,1.56725128789628,1.56725128789628,"Annette","Annette","Annette","Annette",3472,178.051282051282,"rainbow"
"6","Annette","ANN_RBT_12",16659,12,0.347,134.632,-21.465,26.56,6.623,"ANN_RBT_12",-21.7661746540053,-17.8316674736014,-2.18395109982447,0.933043496651515,-11.6622786293039,-31.6900572849286,-31.9710663372045,6.0614546008996,6.06963333333333,12,1,"RS;HR;KL","ANN-RBT-12",182,45,21.6,66.8,10322,"815",NA,"large gonads",NA,NA,"","",NA,NA,NA,NA,NA,1,"ANN",1103.376,25.908,1223151.254,0,780443.6107,0,1140.95574,76054.01667,1.167085807,7.605402,7.605402,2.550147,100,33.5307325,70.1,"8/29/2018","8.3",43,0,43,1,"2 salamander in gillnet (alive and released)","2:00p-7:30p","7:30p-9:30a","","",19,30,1170,19.5,2.205128205,1103.376,"Yes",NA,25.908,"N",4,NA,"NULL","","No","NULL","NULL","NULL","King",47.35891021,-121.4742939,3620,1103.376,20.2,8.1746572,85,"Mt. Baker-Snoqualmie National Forest","NULL",98,"L44701",0.177297146083773,0.171400686695528,0.191018851759778,0.859,24.11,3.63,26.87,4.04,1.56725128789628,1.56725128789628,"Annette","Annette","Annette","Annette",3472,178.051282051282,"rainbow"
"7","Annette","ANN_RBT_13",16671,24,0.349,186.445,-22.47,35.082,6.09,"ANN_RBT_13",-23.0723493080107,-18.440972169922,-2.7407310518052,0.92992202413712,-11.1513338326899,-32.0466817150509,-32.6068196027938,5.53008309826942,5.53663333333333,13,1,"RS;HR;KL","ANN-RBT-13",187,40.7,21.8,67,5194,"522",NA,"BEGAN HANGING FROM PINCHED GILLS FOR WIDTH - measure at insertion of dorsal ",43.2,24.3,"","",NA,NA,NA,NA,NA,1,"ANN",1103.376,25.908,1223151.254,0,780443.6107,0,1140.95574,76054.01667,1.167085807,7.605402,7.605402,2.550147,100,33.5307325,70.1,"8/29/2018","8.3",43,0,43,1,"2 salamander in gillnet (alive and released)","2:00p-7:30p","7:30p-9:30a","","",19,30,1170,19.5,2.205128205,1103.376,"Yes",NA,25.908,"N",4,NA,"NULL","","No","NULL","NULL","NULL","King",47.35891021,-121.4742939,3620,1103.376,20.2,8.1746572,85,"Mt. Baker-Snoqualmie National Forest","NULL",98,"L44701",0.177297146083773,0.171400686695528,0.191018851759778,0.859,24.11,3.63,26.87,4.04,1.56725128789628,1.56725128789628,"Annette","Annette","Annette","Annette",3472,178.051282051282,"rainbow"
"8","Annette","ANN_RBT_14",16660,13,0.337,129.924,-24.895,25.585,6.561,"ANN_RBT_14",-25.2212725418391,-17.7763028641351,-2.13335916316909,0.933328168859828,-11.7088757987191,-34.9440805624845,-35.2485999165084,5.99964403211335,6.00763333333333,14,1,"RS;HR;KL","ANN-RBT-14",259.1,52.2,22.8,171.8,13144,"520",NA,"contents mushy - food vs tissue difficult to distinguish, bloody",54.7,25.3,"","",NA,NA,NA,NA,NA,1,"ANN",1103.376,25.908,1223151.254,0,780443.6107,0,1140.95574,76054.01667,1.167085807,7.605402,7.605402,2.550147,100,33.5307325,70.1,"8/29/2018","8.3",43,0,43,1,"2 salamander in gillnet (alive and released)","2:00p-7:30p","7:30p-9:30a","","",19,30,1170,19.5,2.205128205,1103.376,"Yes",NA,25.908,"N",4,NA,"NULL","","No","NULL","NULL","NULL","King",47.35891021,-121.4742939,3620,1103.376,20.2,8.1746572,85,"Mt. Baker-Snoqualmie National Forest","NULL",98,"L44701",0.177297146083773,0.171400686695528,0.191018851759778,0.859,24.11,3.63,26.87,4.04,1.56725128789628,1.56725128789628,"Annette","Annette","Annette","Annette",3472,178.051282051282,"rainbow"
"9","Annette","ANN_RBT_15",16398,12,0.336,132.839,-17.768,28.893,7.116,"ANN_RBT_15",-17.9765468409252,-17.6894792520246,-2.1996456030753,0.942553698824928,-11.6267159007174,-28.3740100214387,-28.570576617731,6.62710087148654,6.66175,15,1,"RS;HR;KL","ANN-RBT-15",195.2,37.9,18.8,73.5,5025,"855",NA,"fish spewing guts; portion of stomach tissue merged with content",40.4,21.3,"","",NA,NA,NA,NA,NA,1,"ANN",1103.376,25.908,1223151.254,0,780443.6107,0,1140.95574,76054.01667,1.167085807,7.605402,7.605402,2.550147,100,33.5307325,70.1,"8/29/2018","8.3",43,0,43,1,"2 salamander in gillnet (alive and released)","2:00p-7:30p","7:30p-9:30a","","",19,30,1170,19.5,2.205128205,1103.376,"Yes",NA,25.908,"N",4,NA,"NULL","","No","NULL","NULL","NULL","King",47.35891021,-121.4742939,3620,1103.376,20.2,8.1746572,85,"Mt. Baker-Snoqualmie National Forest","NULL",98,"L44701",0.177297146083773,0.171400686695528,0.191018851759778,0.859,24.11,3.63,26.87,4.04,1.56725128789628,1.56725128789628,"Annette","Annette","Annette","Annette",3472,178.051282051282,"rainbow"
"10","Annette","ANN_RBT_16",16703,56,0.334,131.47,-19.6,27.215,6.79,"ANN_RBT_16",-21.0054817186916,-17.7944833412453,-2.14997240320078,0.933234669835252,-11.693571214144,-29.984970742915,-31.2966150106176,6.22794435875933,6.23663333333333,16,1,"RS;HR;KL","ANN-RBT-16",281,48.5,22.2,172.4,10772,"320",NA,"difficult to separate tissue and stomach content",51,24.7,"","",NA,NA,NA,NA,NA,1,"ANN",1103.376,25.908,1223151.254,0,780443.6107,0,1140.95574,76054.01667,1.167085807,7.605402,7.605402,2.550147,100,33.5307325,70.1,"8/29/2018","8.3",43,0,43,1,"2 salamander in gillnet (alive and released)","2:00p-7:30p","7:30p-9:30a","","",19,30,1170,19.5,2.205128205,1103.376,"Yes",NA,25.908,"N",4,NA,"NULL","","No","NULL","NULL","NULL","King",47.35891021,-121.4742939,3620,1103.376,20.2,8.1746572,85,"Mt. Baker-Snoqualmie National Forest","NULL",98,"L44701",0.177297146083773,0.171400686695528,0.191018851759778,0.859,24.11,3.63,26.87,4.04,1.56725128789628,1.56725128789628,"Annette","Annette","Annette","Annette",3472,178.051282051282,"rainbow"
