"","lakeabv","Analysis","Identifier.1","d13C_VPDB","d15N_air","Comment","Area.44","Area.28","run","type","rep","state","planttype","X","Lake","elev_m","maxdepth_m","WatershedAreaTotal_m2","WatershedAreaofupstreamlakes_m2","Lake_Volume_m3","AddtionalUpstreamVolume_m3","PerimeterLength_m","Area_m2","SDI","Area_ha","IlluminatedBottom_morethan1_ha","MostLightLittoral_morethan50_ha","PerLit_1percentlight","PerLit_50percentofLight","X.Littoral.at.15m","Date.Started","Secchi_m","Rainbow.Trout","Brown.Trout","Total.Fish","Overnight","Notes","Set1","Set2","Set.3","Set4","Hours.net.wet","Minutes","Total.minutes","Total.hours..decimal.","CPUE","X.Elevation_m","Repro","Miles.from.Trailhead","Depth_m","USGS_ReconAlpineLakesReport","Bins","AvgDepth_m","Percent_Littoral","EB","CurrentlyStocked","Has.Natural.Repro","Name_2","Name_3","County","Latitude","Longitude","Elevation_ft","Elevation_m","SizeAcres","Hectares_convertion","Depth_ft","Jurisdiction","Wilderness","CID","GeometryID","kd","kd.below1m","kd.2pt","wateradj","onepercent.kd.2pt","fiftypercent.kd.2pt","onepercent.kd.below1m","fiftypercent.kd.below1m","Totm2overTotm3","Subm2overSubm3","ordered.lit","ordered.depth","ordered.elv","ordered.CPUE","tot.biomass","BMPU"
"1","ANN",18102,"PP02_ANN_TDH",-31.6889088791778,-6.16050518759863,0.999,360.345,9.176,"PP02","TDH",NA,"duff","huckleberry",1,"Annette",1103.376,25.908,1223151.254,0,780443.6107,0,1140.95574,76054.01667,1.167085807,7.605402,7.605402,2.550147,100,33.5307325,70.1,"8/29/2018","8.3",43,0,43,1,"2 salamander in gillnet (alive and released)","2:00p-7:30p","7:30p-9:30a","","",19,30,1170,19.5,2.205128205,1103.376,"Yes",NA,25.908,"N",4,NA,"NULL","","No","NULL","NULL","NULL","King",47.35891021,-121.4742939,3620,1103.376,20.2,8.1746572,85,"Mt. Baker-Snoqualmie National Forest","NULL",98,"L44701",0.177297146083773,0.171400686695528,0.191018851759778,0.859,24.11,3.63,26.87,4.04,1.56725128789628,1.56725128789628,"Annette","Annette","Annette","Annette",3472,178.051282051282
"2","ANN",18088,"PP04_ANN_TDE",-28.8636370143322,-5.85139738460643,2.021,738.621,5.376,"PP04","TDE",NA,"duff","conifer",1,"Annette",1103.376,25.908,1223151.254,0,780443.6107,0,1140.95574,76054.01667,1.167085807,7.605402,7.605402,2.550147,100,33.5307325,70.1,"8/29/2018","8.3",43,0,43,1,"2 salamander in gillnet (alive and released)","2:00p-7:30p","7:30p-9:30a","","",19,30,1170,19.5,2.205128205,1103.376,"Yes",NA,25.908,"N",4,NA,"NULL","","No","NULL","NULL","NULL","King",47.35891021,-121.4742939,3620,1103.376,20.2,8.1746572,85,"Mt. Baker-Snoqualmie National Forest","NULL",98,"L44701",0.177297146083773,0.171400686695528,0.191018851759778,0.859,24.11,3.63,26.87,4.04,1.56725128789628,1.56725128789628,"Annette","Annette","Annette","Annette",3472,178.051282051282
"3","ANN",18094,"PP03_ANN_TLE",-27.3709452813498,-6.07289090397532,1.998,705.348,9.537,"PP03","TLE",NA,"living","conifer",1,"Annette",1103.376,25.908,1223151.254,0,780443.6107,0,1140.95574,76054.01667,1.167085807,7.605402,7.605402,2.550147,100,33.5307325,70.1,"8/29/2018","8.3",43,0,43,1,"2 salamander in gillnet (alive and released)","2:00p-7:30p","7:30p-9:30a","","",19,30,1170,19.5,2.205128205,1103.376,"Yes",NA,25.908,"N",4,NA,"NULL","","No","NULL","NULL","NULL","King",47.35891021,-121.4742939,3620,1103.376,20.2,8.1746572,85,"Mt. Baker-Snoqualmie National Forest","NULL",98,"L44701",0.177297146083773,0.171400686695528,0.191018851759778,0.859,24.11,3.63,26.87,4.04,1.56725128789628,1.56725128789628,"Annette","Annette","Annette","Annette",3472,178.051282051282
"4","ANN",18101,"PP01_ANN_TLH",-31.2077412772053,-5.1704485057248,0.99,351.253,8.717,"PP01","TLH",NA,"living","huckleberry",1,"Annette",1103.376,25.908,1223151.254,0,780443.6107,0,1140.95574,76054.01667,1.167085807,7.605402,7.605402,2.550147,100,33.5307325,70.1,"8/29/2018","8.3",43,0,43,1,"2 salamander in gillnet (alive and released)","2:00p-7:30p","7:30p-9:30a","","",19,30,1170,19.5,2.205128205,1103.376,"Yes",NA,25.908,"N",4,NA,"NULL","","No","NULL","NULL","NULL","King",47.35891021,-121.4742939,3620,1103.376,20.2,8.1746572,85,"Mt. Baker-Snoqualmie National Forest","NULL",98,"L44701",0.177297146083773,0.171400686695528,0.191018851759778,0.859,24.11,3.63,26.87,4.04,1.56725128789628,1.56725128789628,"Annette","Annette","Annette","Annette",3472,178.051282051282
"5","BZL",18086,"PP25_BZL_TLH",-30.5571922807178,-6.28961182157378,1.019,347.532,9.774,"PP25","TLH",NA,"living","huckleberry",2,"Blazer",1237.488,17.9832,582782,318525,205415.0614,141314.4864,835.088028,28941.20336,1.384742537,2.89412,1.810126,0.379223,62.54495322,13.10322309,95,"8/18/2018","9.15",9,0,9,1,"","9:05a-7:30a","","","",22,25,1345,22.41666667,0.401486989,1237.488,"NULL",5,17.9832,"N",4,NA,"NULL","","Yes","NULL","NULL","NULL","King",47.42770954,-121.5357973,4060,1237.488,6.46,2.61427156,59,"Mt. Baker-Snoqualmie National Forest","Alpine Lakes Wilderness",140,"L433",0.509998612382406,0.545960060370068,0.443315525788501,NA,10.39,1.56,8.43,1.27,1.68079704685613,1.28645386661993,"Blazer","Blazer","Blazer","Blazer",352.7,15.7338289939429
"6","BZL",18096,"PP27_BZL_TLE",-28.0022001380432,-11.4379623339929,2.002,727.491,9.883,"PP27","TLE",NA,"living","conifer",2,"Blazer",1237.488,17.9832,582782,318525,205415.0614,141314.4864,835.088028,28941.20336,1.384742537,2.89412,1.810126,0.379223,62.54495322,13.10322309,95,"8/18/2018","9.15",9,0,9,1,"","9:05a-7:30a","","","",22,25,1345,22.41666667,0.401486989,1237.488,"NULL",5,17.9832,"N",4,NA,"NULL","","Yes","NULL","NULL","NULL","King",47.42770954,-121.5357973,4060,1237.488,6.46,2.61427156,59,"Mt. Baker-Snoqualmie National Forest","Alpine Lakes Wilderness",140,"L433",0.509998612382406,0.545960060370068,0.443315525788501,NA,10.39,1.56,8.43,1.27,1.68079704685613,1.28645386661993,"Blazer","Blazer","Blazer","Blazer",352.7,15.7338289939429
"7","BZL",18080,"PP28_BZL_TDE",-29.4768107005167,-5.61682172145269,1.743,643.753,2.206,"PP28","TDE",NA,"duff","conifer",2,"Blazer",1237.488,17.9832,582782,318525,205415.0614,141314.4864,835.088028,28941.20336,1.384742537,2.89412,1.810126,0.379223,62.54495322,13.10322309,95,"8/18/2018","9.15",9,0,9,1,"","9:05a-7:30a","","","",22,25,1345,22.41666667,0.401486989,1237.488,"NULL",5,17.9832,"N",4,NA,"NULL","","Yes","NULL","NULL","NULL","King",47.42770954,-121.5357973,4060,1237.488,6.46,2.61427156,59,"Mt. Baker-Snoqualmie National Forest","Alpine Lakes Wilderness",140,"L433",0.509998612382406,0.545960060370068,0.443315525788501,NA,10.39,1.56,8.43,1.27,1.68079704685613,1.28645386661993,"Blazer","Blazer","Blazer","Blazer",352.7,15.7338289939429
"8","BZL",18097,"PP26_BZL_TDH",-33.4751969192273,-3.47895586599329,0.998,343.365,8.094,"PP26","TDH",NA,"duff","huckleberry",2,"Blazer",1237.488,17.9832,582782,318525,205415.0614,141314.4864,835.088028,28941.20336,1.384742537,2.89412,1.810126,0.379223,62.54495322,13.10322309,95,"8/18/2018","9.15",9,0,9,1,"","9:05a-7:30a","","","",22,25,1345,22.41666667,0.401486989,1237.488,"NULL",5,17.9832,"N",4,NA,"NULL","","Yes","NULL","NULL","NULL","King",47.42770954,-121.5357973,4060,1237.488,6.46,2.61427156,59,"Mt. Baker-Snoqualmie National Forest","Alpine Lakes Wilderness",140,"L433",0.509998612382406,0.545960060370068,0.443315525788501,NA,10.39,1.56,8.43,1.27,1.68079704685613,1.28645386661993,"Blazer","Blazer","Blazer","Blazer",352.7,15.7338289939429
"9","DEN",23634,"PP183_DEN_TDE",-28.1526834869244,-2.51088966100742,NA,458.173,14.591,"PP183","TDE","duo","duff","conifer",3,"Denny",1335.024,70.4088,642392,0,1674032.019,0,1000.851076,57585.75637,1.176540796,5.758576,2.33878,0.889803,40.61386009,15.45178878,31.5,"8/8/2018","12.5",19,0,19,1,"","5:20p-1:30p","","","",20,10,1210,20.16666667,0.94214876,1335.024,"NULL",5.5,70.4088,"N",4,NA,"9.02","EB","Yes","NULL","Evelyn","NULL","King",47.42231021,-121.4713952,4380,1335.024,14.3,5.7870098,231,"Mt. Baker-Snoqualmie National Forest","Alpine Lakes Wilderness",90,"L1064",0.196605180295265,0.213337682042557,0.224207151154811,1.327,20.54,3.09,21.59,3.25,0.383739374581222,0.383739374581222,"Denny","Denny","Denny","Denny",328,16.264462807229
"10","DEN",23601,"PP181_DEN_TDH",-29.4753132030221,-1.8546383124517,1.005,416.703,11.292,"PP181","TDH",NA,"duff","huckleberry",3,"Denny",1335.024,70.4088,642392,0,1674032.019,0,1000.851076,57585.75637,1.176540796,5.758576,2.33878,0.889803,40.61386009,15.45178878,31.5,"8/8/2018","12.5",19,0,19,1,"","5:20p-1:30p","","","",20,10,1210,20.16666667,0.94214876,1335.024,"NULL",5.5,70.4088,"N",4,NA,"9.02","EB","Yes","NULL","Evelyn","NULL","King",47.42231021,-121.4713952,4380,1335.024,14.3,5.7870098,231,"Mt. Baker-Snoqualmie National Forest","Alpine Lakes Wilderness",90,"L1064",0.196605180295265,0.213337682042557,0.224207151154811,1.327,20.54,3.09,21.59,3.25,0.383739374581222,0.383739374581222,"Denny","Denny","Denny","Denny",328,16.264462807229
